Joins,Total Time,Data Time,Update Time,Z3 Time
12,1.491078519821167,1.4521994590759277,0.011258387565612793,0.027620673179626465
14,1.733833694458008,1.696625328063965,0.013608908653259278,0.023599457740783692
16,2.0543263435363768,2.0218526840209963,0.011385846138000488,0.02108781337738037
18,2.314343237876892,2.2790129661560057,0.013395118713378906,0.021935153007507324
20,2.5464904785156253,2.514784240722656,0.014242267608642578,0.01746397018432617
22,2.77561194896698,2.744766449928284,0.014334964752197265,0.016510534286499023
24,2.9861618518829345,2.951709342002869,0.016658663749694824,0.017793846130371094
26,3.2583220958709718,3.2266138315200807,0.017343735694885253,0.014364528656005859
29,4.04608998298645,3.9851725578308104,0.024089360237121583,0.03682806491851806
31,4.650614452362061,4.590371155738831,0.025118064880371094,0.035125231742858885
33,4.769795703887939,4.708429384231567,0.025040650367736818,0.03632566928863525
35,5.14802086353302,5.0839073181152346,0.026922154426574706,0.03719139099121094
37,5.613687753677368,5.548958492279053,0.02825014591217041,0.03647911548614502
40,6.031853175163269,5.954652953147888,0.033905959129333495,0.04329426288604736
